;time;customer;location
0;07:00:00;Jeffery Jones;entrance
1;07:00:00;Barbara French;entrance
2;07:00:00;Paige Marks;entrance
3;07:00:00;Taylor English;entrance
4;07:00:00;Laura Hernandez;entrance
5;07:01:00;Jeffery Jones;spices
6;07:01:00;Barbara French;drinks
7;07:01:00;Paige Marks;dairy
8;07:01:00;Taylor English;drinks
9;07:01:00;Laura Hernandez;fruit
10;07:01:00;Patrick Kirk;entrance
11;07:01:00;John Perry;entrance
12;07:01:00;Michael Serrano;entrance
13;07:01:00;Jason Carlson;entrance
14;07:01:00;Steven Flores;entrance
15;07:01:00;Peter Smith;entrance
16;07:01:00;Julie Long;entrance
17;07:02:00;Jeffery Jones;checkout and leave
18;07:02:00;Barbara French;drinks
19;07:02:00;Paige Marks;dairy
20;07:02:00;Taylor English;drinks
21;07:02:00;Laura Hernandez;fruit
22;07:02:00;Patrick Kirk;drinks
23;07:02:00;John Perry;dairy
24;07:02:00;Michael Serrano;dairy
25;07:02:00;Jason Carlson;dairy
26;07:02:00;Steven Flores;fruit
27;07:02:00;Peter Smith;fruit
28;07:02:00;Julie Long;drinks
29;07:02:00;Stephanie Perkins;entrance
30;07:02:00;Joseph Burgess;entrance
31;07:02:00;Christian Cook;entrance
32;07:02:00;Victoria Chandler;entrance
33;07:03:00;Barbara French;dairy
34;07:03:00;Paige Marks;checkout and leave
35;07:03:00;Taylor English;dairy
36;07:03:00;Laura Hernandez;dairy
37;07:03:00;Patrick Kirk;fruit
38;07:03:00;John Perry;dairy
39;07:03:00;Michael Serrano;checkout and leave
40;07:03:00;Jason Carlson;spices
41;07:03:00;Steven Flores;drinks
42;07:03:00;Peter Smith;fruit
43;07:03:00;Julie Long;spices
44;07:03:00;Stephanie Perkins;dairy
45;07:03:00;Joseph Burgess;drinks
46;07:03:00;Christian Cook;dairy
47;07:03:00;Victoria Chandler;spices
48;07:03:00;Deborah Collins;entrance
49;07:03:00;James Brown;entrance
50;07:03:00;Daniel Atkins;entrance
51;07:03:00;Rita Henderson;entrance
52;07:03:00;Dr. Jill Williams;entrance
53;07:03:00;Melissa Soto;entrance
54;07:03:00;Abigail Allen;entrance
55;07:03:00;Mrs. Lynn Robles;entrance
56;07:04:00;Barbara French;spices
57;07:04:00;Taylor English;dairy
58;07:04:00;Laura Hernandez;dairy
59;07:04:00;Patrick Kirk;drinks
60;07:04:00;John Perry;fruit
61;07:04:00;Jason Carlson;dairy
62;07:04:00;Steven Flores;spices
63;07:04:00;Peter Smith;spices
64;07:04:00;Julie Long;drinks
65;07:04:00;Stephanie Perkins;dairy
66;07:04:00;Joseph Burgess;dairy
67;07:04:00;Christian Cook;drinks
68;07:04:00;Victoria Chandler;drinks
69;07:04:00;Deborah Collins;drinks
70;07:04:00;James Brown;drinks
71;07:04:00;Daniel Atkins;drinks
72;07:04:00;Rita Henderson;spices
73;07:04:00;Dr. Jill Williams;dairy
74;07:04:00;Melissa Soto;dairy
75;07:04:00;Abigail Allen;fruit
76;07:04:00;Mrs. Lynn Robles;spices
77;07:04:00;Mandy Buck;entrance
