;time;customer;location
0;07:00:00;Ashley Martin;entrance
1;07:00:00;Walter Mills;entrance
2;07:00:00;Summer Cole;entrance
3;07:00:00;Debra Young;entrance
4;07:00:00;Denise Taylor;entrance
5;07:01:00;Ashley Martin;drinks
6;07:01:00;Walter Mills;spices
7;07:01:00;Summer Cole;drinks
8;07:01:00;Debra Young;fruit
9;07:01:00;Denise Taylor;drinks
10;07:01:00;Victor Cabrera;entrance
11;07:01:00;David Harris;entrance
12;07:01:00;Gregory Browning;entrance
13;07:01:00;Connie Williams;entrance
14;07:01:00;Valerie Bonilla;entrance
15;07:01:00;Matthew Nguyen;entrance
16;07:01:00;Susan Campbell;entrance
17;07:02:00;Ashley Martin;fruit
18;07:02:00;Walter Mills;spices
19;07:02:00;Summer Cole;spices
20;07:02:00;Debra Young;spices
21;07:02:00;Denise Taylor;checkout and leave
22;07:02:00;Victor Cabrera;drinks
23;07:02:00;David Harris;drinks
24;07:02:00;Gregory Browning;fruit
25;07:02:00;Connie Williams;spices
26;07:02:00;Valerie Bonilla;fruit
27;07:02:00;Matthew Nguyen;drinks
28;07:02:00;Susan Campbell;spices
29;07:02:00;Martin Williams;entrance
30;07:02:00;Samantha Russell;entrance
31;07:02:00;Felicia Espinoza;entrance
32;07:02:00;Carlos Wilson;entrance
33;07:03:00;Ashley Martin;dairy
34;07:03:00;Walter Mills;dairy
35;07:03:00;Summer Cole;fruit
36;07:03:00;Debra Young;drinks
37;07:03:00;Victor Cabrera;spices
38;07:03:00;David Harris;drinks
39;07:03:00;Gregory Browning;dairy
40;07:03:00;Connie Williams;fruit
41;07:03:00;Valerie Bonilla;spices
42;07:03:00;Matthew Nguyen;checkout and leave
43;07:03:00;Susan Campbell;checkout and leave
44;07:03:00;Martin Williams;fruit
45;07:03:00;Samantha Russell;spices
46;07:03:00;Felicia Espinoza;spices
47;07:03:00;Carlos Wilson;dairy
48;07:03:00;Amanda Barrett;entrance
49;07:03:00;Richard Sanchez;entrance
50;07:03:00;Erin Burnett;entrance
51;07:03:00;Michelle Martin;entrance
52;07:03:00;Kelly Burgess;entrance
53;07:03:00;William Sanchez;entrance
54;07:03:00;Stephanie Wallace;entrance
55;07:03:00;Justin Dickson;entrance
56;07:04:00;Ashley Martin;dairy
57;07:04:00;Walter Mills;drinks
58;07:04:00;Summer Cole;spices
59;07:04:00;Debra Young;dairy
60;07:04:00;Victor Cabrera;dairy
61;07:04:00;David Harris;dairy
62;07:04:00;Gregory Browning;fruit
63;07:04:00;Connie Williams;drinks
64;07:04:00;Valerie Bonilla;fruit
65;07:04:00;Susan Campbell;checkout and leave
66;07:04:00;Martin Williams;drinks
67;07:04:00;Samantha Russell;fruit
68;07:04:00;Felicia Espinoza;fruit
69;07:04:00;Carlos Wilson;drinks
70;07:04:00;Amanda Barrett;drinks
71;07:04:00;Richard Sanchez;spices
72;07:04:00;Erin Burnett;fruit
73;07:04:00;Michelle Martin;spices
74;07:04:00;Kelly Burgess;spices
75;07:04:00;William Sanchez;fruit
76;07:04:00;Stephanie Wallace;spices
77;07:04:00;Justin Dickson;drinks
78;07:04:00;Charles Medina;entrance
79;07:04:00;Paul Foster;entrance
80;07:04:00;Mark Cook;entrance
81;07:04:00;Miranda Bennett;entrance
82;07:04:00;Rebecca Burton;entrance
83;07:04:00;Brian Mitchell;entrance
84;07:05:00;Ashley Martin;dairy
85;07:05:00;Walter Mills;dairy
86;07:05:00;Summer Cole;drinks
87;07:05:00;Debra Young;dairy
88;07:05:00;Victor Cabrera;checkout and leave
89;07:05:00;David Harris;dairy
90;07:05:00;Gregory Browning;dairy
91;07:05:00;Connie Williams;fruit
92;07:05:00;Valerie Bonilla;fruit
93;07:05:00;Martin Williams;spices
94;07:05:00;Samantha Russell;drinks
95;07:05:00;Felicia Espinoza;dairy
96;07:05:00;Carlos Wilson;dairy
97;07:05:00;Amanda Barrett;fruit
98;07:05:00;Richard Sanchez;fruit
99;07:05:00;Erin Burnett;spices
100;07:05:00;Michelle Martin;dairy
101;07:05:00;Kelly Burgess;spices
102;07:05:00;William Sanchez;drinks
103;07:05:00;Stephanie Wallace;spices
104;07:05:00;Justin Dickson;dairy
105;07:05:00;Charles Medina;drinks
106;07:05:00;Paul Foster;dairy
107;07:05:00;Mark Cook;drinks
108;07:05:00;Miranda Bennett;fruit
109;07:05:00;Rebecca Burton;spices
110;07:05:00;Brian Mitchell;dairy
111;07:06:00;Ashley Martin;dairy
112;07:06:00;Walter Mills;drinks
113;07:06:00;Summer Cole;fruit
114;07:06:00;Debra Young;fruit
115;07:06:00;David Harris;drinks
116;07:06:00;Gregory Browning;dairy
117;07:06:00;Connie Williams;dairy
118;07:06:00;Valerie Bonilla;fruit
119;07:06:00;Martin Williams;drinks
120;07:06:00;Samantha Russell;spices
121;07:06:00;Felicia Espinoza;fruit
122;07:06:00;Carlos Wilson;dairy
123;07:06:00;Amanda Barrett;dairy
124;07:06:00;Richard Sanchez;dairy
125;07:06:00;Erin Burnett;dairy
126;07:06:00;Michelle Martin;fruit
127;07:06:00;Kelly Burgess;dairy
128;07:06:00;William Sanchez;dairy
129;07:06:00;Stephanie Wallace;dairy
130;07:06:00;Justin Dickson;dairy
131;07:06:00;Charles Medina;fruit
132;07:06:00;Paul Foster;fruit
133;07:06:00;Mark Cook;checkout and leave
134;07:06:00;Miranda Bennett;checkout and leave
135;07:06:00;Rebecca Burton;fruit
136;07:06:00;Brian Mitchell;fruit
137;07:06:00;Chelsey Leach;entrance
138;07:06:00;Ashley Wright;entrance
139;07:06:00;Barry Esparza;entrance
140;07:06:00;Deborah Sanford;entrance
141;07:06:00;Billy Turner;entrance
142;07:06:00;Chelsey Cordova;entrance
143;07:06:00;Leah Esparza;entrance
144;07:06:00;Tina Kelly;entrance
145;07:07:00;Ashley Martin;checkout and leave
146;07:07:00;Walter Mills;drinks
147;07:07:00;Summer Cole;dairy
148;07:07:00;Debra Young;dairy
149;07:07:00;David Harris;drinks
150;07:07:00;Gregory Browning;drinks
151;07:07:00;Connie Williams;drinks
152;07:07:00;Valerie Bonilla;fruit
153;07:07:00;Martin Williams;dairy
154;07:07:00;Samantha Russell;spices
155;07:07:00;Felicia Espinoza;dairy
156;07:07:00;Carlos Wilson;checkout and leave
157;07:07:00;Amanda Barrett;drinks
158;07:07:00;Richard Sanchez;fruit
159;07:07:00;Erin Burnett;dairy
160;07:07:00;Michelle Martin;dairy
161;07:07:00;Kelly Burgess;dairy
162;07:07:00;William Sanchez;fruit
163;07:07:00;Stephanie Wallace;dairy
164;07:07:00;Justin Dickson;fruit
165;07:07:00;Charles Medina;drinks
166;07:07:00;Paul Foster;spices
167;07:07:00;Miranda Bennett;checkout and leave
168;07:07:00;Rebecca Burton;drinks
169;07:07:00;Brian Mitchell;checkout and leave
170;07:07:00;Chelsey Leach;drinks
171;07:07:00;Ashley Wright;spices
172;07:07:00;Barry Esparza;dairy
173;07:07:00;Deborah Sanford;dairy
