;time;customer;location
0;07:00:00;Mrs. Margaret Kline;entrance
1;07:00:00;Jimmy Carson;entrance
2;07:00:00;Lynn Reese;entrance
3;07:00:00;Mary Gutierrez;entrance
4;07:00:00;Andrew Sanders;entrance
5;07:01:00;Mrs. Margaret Kline;fruit
6;07:01:00;Jimmy Carson;drinks
7;07:01:00;Lynn Reese;fruit
8;07:01:00;Mary Gutierrez;spices
9;07:01:00;Andrew Sanders;spices
10;07:01:00;Anita Brooks;entrance
11;07:01:00;Eric Sims;entrance
12;07:01:00;Rita Turner;entrance
13;07:01:00;Michael Morris;entrance
14;07:01:00;Cheryl Wilson;entrance
15;07:01:00;Michael Rodriguez;entrance
16;07:01:00;Crystal Snyder;entrance
17;07:02:00;Mrs. Margaret Kline;dairy
18;07:02:00;Jimmy Carson;fruit
19;07:02:00;Lynn Reese;dairy
20;07:02:00;Mary Gutierrez;dairy
21;07:02:00;Andrew Sanders;dairy
22;07:02:00;Anita Brooks;spices
23;07:02:00;Eric Sims;dairy
24;07:02:00;Rita Turner;fruit
25;07:02:00;Michael Morris;fruit
26;07:02:00;Cheryl Wilson;fruit
27;07:02:00;Michael Rodriguez;fruit
28;07:02:00;Crystal Snyder;dairy
29;07:02:00;Lindsey Cooley;entrance
30;07:02:00;Katherine Valdez;entrance
31;07:02:00;Brittany Lewis;entrance
32;07:02:00;Zachary Miller;entrance
33;07:03:00;Mrs. Margaret Kline;drinks
34;07:03:00;Jimmy Carson;dairy
35;07:03:00;Lynn Reese;checkout and leave
36;07:03:00;Mary Gutierrez;fruit
37;07:03:00;Andrew Sanders;dairy
38;07:03:00;Anita Brooks;fruit
39;07:03:00;Eric Sims;fruit
40;07:03:00;Rita Turner;dairy
41;07:03:00;Michael Morris;spices
42;07:03:00;Cheryl Wilson;dairy
43;07:03:00;Michael Rodriguez;drinks
44;07:03:00;Crystal Snyder;dairy
45;07:03:00;Lindsey Cooley;drinks
46;07:03:00;Katherine Valdez;spices
47;07:03:00;Brittany Lewis;fruit
48;07:03:00;Zachary Miller;fruit
49;07:03:00;Michael Tucker;entrance
50;07:03:00;Michael Fletcher;entrance
51;07:03:00;Seth Vasquez;entrance
52;07:03:00;Jessica Sullivan;entrance
53;07:03:00;Terry Fernandez;entrance
54;07:03:00;Adam Webb;entrance
55;07:03:00;Christian Mitchell;entrance
56;07:03:00;Donna Cox;entrance
57;07:04:00;Mrs. Margaret Kline;checkout and leave
58;07:04:00;Jimmy Carson;dairy
59;07:04:00;Mary Gutierrez;drinks
60;07:04:00;Andrew Sanders;checkout and leave
61;07:04:00;Anita Brooks;dairy
62;07:04:00;Eric Sims;drinks
63;07:04:00;Rita Turner;fruit
64;07:04:00;Michael Morris;fruit
65;07:04:00;Cheryl Wilson;fruit
66;07:04:00;Michael Rodriguez;dairy
67;07:04:00;Crystal Snyder;dairy
68;07:04:00;Lindsey Cooley;fruit
69;07:04:00;Katherine Valdez;dairy
70;07:04:00;Brittany Lewis;dairy
71;07:04:00;Zachary Miller;dairy
72;07:04:00;Michael Tucker;drinks
73;07:04:00;Michael Fletcher;fruit
74;07:04:00;Seth Vasquez;drinks
75;07:04:00;Jessica Sullivan;drinks
76;07:04:00;Terry Fernandez;dairy
77;07:04:00;Adam Webb;drinks
78;07:04:00;Christian Mitchell;fruit
79;07:04:00;Donna Cox;dairy
80;07:04:00;Kimberly Anthony;entrance
81;07:04:00;Brenda Tran;entrance
82;07:04:00;Katherine Allen;entrance
83;07:04:00;Maureen Green;entrance
84;07:04:00;Linda Rodriguez;entrance
85;07:04:00;Joseph Evans;entrance
86;07:05:00;Jimmy Carson;fruit
87;07:05:00;Mary Gutierrez;fruit
88;07:05:00;Anita Brooks;spices
89;07:05:00;Eric Sims;dairy
90;07:05:00;Rita Turner;dairy
91;07:05:00;Michael Morris;fruit
92;07:05:00;Cheryl Wilson;fruit
93;07:05:00;Michael Rodriguez;checkout and leave
94;07:05:00;Crystal Snyder;checkout and leave
95;07:05:00;Lindsey Cooley;drinks
96;07:05:00;Katherine Valdez;spices
97;07:05:00;Brittany Lewis;spices
98;07:05:00;Zachary Miller;checkout and leave
99;07:05:00;Michael Tucker;dairy
100;07:05:00;Michael Fletcher;dairy
101;07:05:00;Seth Vasquez;drinks
102;07:05:00;Jessica Sullivan;fruit
103;07:05:00;Terry Fernandez;dairy
104;07:05:00;Adam Webb;drinks
105;07:05:00;Christian Mitchell;spices
106;07:05:00;Donna Cox;checkout and leave
107;07:05:00;Kimberly Anthony;drinks
108;07:05:00;Brenda Tran;spices
109;07:05:00;Katherine Allen;dairy
110;07:05:00;Maureen Green;dairy
